date,price
2023-09-15,"107,400"
2023-09-14,"104,300"
2023-09-13,"104,200"
2023-09-12,"99,000"
2023-09-11,"99,200"
2023-09-10,"98,800"
2023-09-08,"98,800"
2023-09-07,"99,800"
2023-09-06,"100,500"
2023-09-05,"102,200"
2023-09-04,"102,500"
2023-09-03,"99,600"
2023-09-01,"99,600"
2023-08-31,"98,500"
2023-08-30,"100,100"
2023-08-29,"99,600"
2023-08-28,"99,600"
2023-08-25,"98,300"
2023-08-24,"99,100"
2023-08-23,"98,600"
2023-08-22,"98,700"
2023-08-21,"98,600"
2023-08-20,"98,300"
2023-08-18,"98,300"
2023-08-17,"99,900"
2023-08-16,"99,600"
2023-08-15,"101,500"
2023-08-14,"101,500"
2023-08-13,"103,800"
2023-08-11,"103,800"
2023-08-10,"101,900"
2023-08-09,"104,700"
2023-08-08,"102,400"
2023-08-07,"103,100"
2023-08-06,"103,600"
2023-08-04,"103,600"
2023-08-03,"104,600"
2023-08-02,"105,800"
2023-08-01,"109,200"
2023-07-31,"108,400"
2023-07-30,"110,600"
2023-07-28,"110,600"
2023-07-27,"117,500"
2023-07-26,"116,300"
2023-07-25,"119,000"
2023-07-24,"120,000"
2023-07-23,"120,800"
2023-07-21,"120,800"
2023-07-20,"121,400"
2023-07-19,"123,500"
2023-07-18,"123,100"
2023-07-17,"123,800"
2023-07-16,"125,400"
2023-07-14,"125,400"
2023-07-13,"121,400"
2023-07-12,"120,200"
2023-07-11,"118,500"
2023-07-10,"118,300"
2023-07-09,"123,000"
2023-07-07,"123,000"
2023-07-06,"125,300"
2023-07-05,"128,200"
2023-07-04,"128,200"
2023-07-03,"127,100"
2023-07-02,"126,700"
2023-06-30,"126,700"
2023-06-29,"126,000"
2023-06-28,"122,800"
2023-06-27,"123,000"
2023-06-26,"123,500"
2023-06-25,"123,300"
2023-06-23,"123,300"
2023-06-22,"125,400"
2023-06-21,"125,000"
2023-06-20,"123,700"
2023-06-19,"124,900"
2023-06-18,"124,500"
2023-06-16,"124,500"
2023-06-15,"123,600"
2023-06-14,"124,700"
2023-06-13,"124,400"
2023-06-12,"125,600"
2023-06-11,"126,200"
2023-06-09,"126,200"
2023-06-08,"126,700"
2023-06-07,"125,700"
2023-06-06,"127,200"
2023-06-05,"127,200"
2023-06-04,"123,100"
2023-06-02,"123,100"
2023-06-01,"123,000"
2023-05-31,"122,800"
2023-05-30,"124,900"
2023-05-26,"112,700"
2023-05-25,"112,600"
2023-05-24,"113,300"
2023-05-23,"114,200"
2023-05-22,"113,800"
2023-05-21,"113,400"
2023-05-19,"113,400"
2023-05-18,"113,000"
2023-05-17,"111,900"
2023-05-16,"110,500"
2023-05-15,"111,500"
2023-05-14,"111,800"
2023-05-12,"111,800"
2023-05-11,"116,200"
2023-05-10,"114,900"
2023-05-09,"111,900"
2023-05-08,"112,300"
2023-05-04,"109,200"
2023-05-03,"109,300"
2023-05-02,"109,500"
2023-05-01,"109,300"
2023-04-28,"109,300"
2023-04-27,"107,700"
2023-04-26,"108,400"
2023-04-25,"108,900"
2023-04-24,"107,400"
2023-04-23,"107,800"
2023-04-21,"107,800"
2023-04-20,"110,600"
2023-04-19,"112,900"
2023-04-18,"111,600"
2023-04-17,"112,200"
2023-04-16,"115,200"
2023-04-14,"115,200"
2023-04-13,"115,300"
2023-04-12,"114,600"
2023-04-11,"112,600"
2023-04-10,"113,000"
2023-04-09,"114,300"
2023-04-07,"114,300"
2023-04-06,"113,900"
2023-04-05,"116,800"
2023-04-04,"115,900"
2023-04-03,"113,800"
2023-04-02,"115,300"
2023-03-31,"115,300"
2023-03-30,"113,100"
2023-03-29,"113,700"
2023-03-28,"111,800"
2023-03-27,"113,500"
2023-03-26,"113,000"
2023-03-24,"113,000"
2023-03-23,"111,800"
2023-03-22,"114,200"
2023-03-21,"113,300"
2023-03-20,"113,900"
2023-03-19,"117,900"
2023-03-17,"117,900"
2023-03-16,"117,500"
2023-03-15,"117,400"
2023-03-14,"111,800"
2023-03-13,"117,500"
2023-03-12,"115,700"
2023-03-10,"115,700"
2023-03-09,"117,000"
2023-03-08,"117,500"
2023-03-07,"114,400"
2023-03-06,"114,500"
2023-03-05,"110,800"
2023-03-03,"110,800"
2023-03-02,"111,400"
2023-03-01,"111,200"
2023-02-28,"111,200"
2023-02-27,"112,700"
2023-02-26,"113,400"
2023-02-24,"113,400"
2023-02-23,"114,700"
2023-02-22,"111,100"
2023-02-21,"114,000"
2023-02-20,"113,300"
2023-02-19,"113,900"
2023-02-17,"113,900"
2023-02-16,"114,000"
2023-02-15,"112,800"
2023-02-14,"113,300"
2023-02-13,"107,200"
2023-02-12,"110,600"
2023-02-10,"110,600"
2023-02-09,"108,000"
2023-02-08,"107,600"
2023-02-07,"102,000"
2023-02-06,"101,600"
2023-02-05,"100,800"
2023-02-03,"100,800"
2023-02-02,"100,900"
2023-02-01,"99,100"
2023-01-31,"100,100"
2023-01-30,"100,400"
2023-01-29,"98,100"
2023-01-27,"98,100"
2023-01-26,"97,900"
2023-01-25,"96,600"
2023-01-20,"96,300"
2023-01-19,"96,300"
2023-01-18,"95,200"
2023-01-17,"94,700"
2023-01-16,"94,400"
2023-01-13,"94,200"
2023-01-12,"93,700"
2023-01-11,"94,800"
2023-01-10,"95,100"
2023-01-09,"95,100"
2023-01-08,"90,700"
2023-01-06,"90,700"
2023-01-05,"89,900"
2023-01-04,"89,700"
