date,price
20221229,"43800"
20221228,"44750"
20221227,"46550"
20221226,"46450"
20221223,"46600"
20221222,"46650"
20221221,"45700"
20221220,"45750"
20221219,"45600"
20221216,"46000"
20221215,"45650"
20221214,"46100"
20221213,"46200"
20221212,"46000"
20221211,"45900"
20221209,"45900"
20221208,"45350"
20221207,"45300"
20221206,"46200"
20221205,"46550"
20221202,"47550"
20221201,"47850"
20221130,"48600"
20221129,"46550"
20221128,"46200"
20221127,"46600"
20221125,"46600"
20221124,"46150"
20221123,"47150"
20221122,"47050"
20221121,"47150"
20221118,"46300"
20221117,"46450"
20221116,"47650"
20221115,"47350"
20221114,"48550"
20221111,"47600"
20221110,"48100"
20221109,"48450"
20221108,"48300"
20221107,"48800"
20221104,"46850"
20221103,"46100"
20221102,"46400"
20221101,"46750"
20221031,"46000"
20221028,"46400"
20221027,"45650"
20221026,"44700"
20221025,"45700"
20221024,"46850"
20221021,"46450"
20221020,"47400"
20221019,"46850"
20221018,"47300"
20221017,"46650"
20221014,"45950"
20221013,"43650"
20221012,"44050"
20221011,"43850"
20221007,"44450"
20221006,"44100"
20221005,"43450"
20221004,"43600"
20220930,"41700"
20220929,"41800"
20220928,"41600"
20220927,"42600"
20220926,"41900"
20220923,"45850"
20220922,"47400"
20220921,"46600"
20220920,"46300"
20220919,"45900"
20220918,"46100"
20220916,"46100"
20220915,"45650"
20220914,"45650"
20220913,"46050"
20220908,"45400"
20220907,"45300"
20220906,"46000"
20220905,"45550"
20220902,"45750"
20220901,"45650"
20220831,"46050"
20220830,"46650"
20220829,"45300"
20220826,"45350"
20220825,"45350"
20220824,"45350"
20220823,"45050"
20220822,"44400"
20220819,"44350"
20220818,"44200"
20220817,"43750"
20220816,"43800"
20220815,"43500"
20220812,"43500"
20220811,"42600"
20220810,"41600"
20220809,"41350"
20220808,"40850"
20220807,"40550"
20220805,"40550"
20220804,"40400"
20220803,"40850"
20220802,"41100"
20220801,"40850"
20220729,"41650"
20220728,"41250"
20220727,"41150"
20220726,"40700"
20220725,"40700"
20220722,"40150"
20220721,"40800"
20220720,"40200"
20220719,"39850"
20220718,"39500"
20220715,"38700"
20220714,"39150"
20220713,"39200"
20220712,"38850"
20220711,"39600"
20220708,"39650"
20220707,"39600"
20220706,"38450"
20220705,"40950"
20220704,"40600"
20220701,"40900"
20220630,"41850"
20220629,"42800"
20220628,"41750"
20220627,"41500"
20220626,"41350"
20220624,"41350"
20220623,"40450"
20220622,"42250"
20220621,"42750"
20220620,"42850"
20220619,"45350"
20220617,"45350"
20220616,"45650"
20220615,"45500"
20220614,"46000"
20220613,"46300"
20220612,"47550"
20220610,"47550"
20220609,"47900"
20220608,"47950"
20220607,"47300"
20220606,"46500"
20220603,"46500"
20220602,"45900"
20220601,"45400"
20220531,"45400"
20220530,"44550"
20220527,"44650"
20220526,"43850"
20220525,"43400"
20220524,"42750"
20220523,"45100"
20220522,"45750"
20220520,"45750"
20220519,"45450"
20220518,"46000"
20220517,"47000"
20220516,"46800"
20220513,"47450"
20220512,"46850"
20220511,"46450"
20220510,"47350"
20220509,"48450"
20220508,"47700"
20220506,"47700"
20220505,"46700"
20220504,"46700"
