date,price
20221229,"25650"
20221228,"26750"
20221227,"27750"
20221226,"27250"
20221223,"27200"
20221222,"27750"
20221221,"27600"
20221220,"27450"
20221219,"27350"
20221216,"27950"
20221215,"27800"
20221214,"28000"
20221213,"27900"
20221212,"27900"
20221211,"27750"
20221209,"27750"
20221208,"27550"
20221207,"27700"
20221206,"27600"
20221205,"27900"
20221204,"28250"
20221202,"28250"
20221201,"29150"
20221130,"29050"
20221129,"28850"
20221128,"28300"
20221127,"28300"
20221125,"28300"
20221124,"28700"
20221123,"28850"
20221122,"28150"
20221121,"28050"
20221118,"28100"
20221117,"28500"
20221116,"28850"
20221115,"28300"
20221114,"28450"
20221111,"28800"
20221110,"28350"
20221109,"28500"
20221108,"28100"
20221107,"27450"
20221104,"27850"
20221103,"27600"
20221102,"27550"
20221101,"26800"
20221031,"25400"
20221028,"25450"
20221027,"25350"
20221026,"24450"
20221025,"24350"
20221024,"24400"
20221021,"24400"
20221020,"24250"
20221019,"24900"
20221018,"25500"
20221017,"24500"
20221016,"24000"
20221014,"24000"
20221013,"23250"
20221012,"24400"
20221011,"24050"
20221010,"25000"
20221007,"25000"
20221006,"24850"
20221005,"25350"
20221004,"25350"
20220930,"24450"
20220929,"25150"
20220928,"24300"
20220927,"26050"
20220926,"25950"
20220923,"27400"
20220922,"28500"
20220921,"28750"
20220920,"29150"
20220919,"28900"
20220918,"29300"
20220916,"29300"
20220915,"29250"
20220914,"29200"
20220913,"29500"
20220908,"29750"
20220907,"30100"
20220906,"30700"
20220905,"30700"
20220904,"30500"
20220902,"30500"
20220901,"31150"
20220831,"31850"
20220830,"32550"
20220829,"31150"
20220828,"31300"
20220826,"31300"
20220825,"31250"
20220824,"30800"
20220823,"30650"
20220822,"30500"
20220821,"31200"
20220819,"31200"
20220818,"31200"
20220817,"31150"
20220816,"30800"
20220812,"31100"
20220811,"31150"
20220810,"30700"
20220809,"30450"
20220808,"30000"
20220807,"28400"
20220805,"28400"
20220804,"28400"
20220803,"28450"
20220802,"28550"
20220801,"27800"
20220731,"27550"
20220729,"27550"
20220728,"25550"
20220727,"24600"
20220726,"24750"
20220725,"24700"
20220722,"24400"
20220721,"24400"
20220720,"24250"
20220719,"24400"
20220718,"24200"
20220715,"23400"
20220714,"23500"
20220713,"23650"
20220712,"23950"
20220711,"24400"
20220710,"24750"
20220708,"24750"
20220707,"24400"
20220706,"24200"
20220705,"25600"
20220704,"25150"
20220701,"25950"
20220630,"25850"
20220629,"26300"
20220628,"26000"
20220627,"25850"
20220626,"25500"
20220624,"25500"
20220623,"24700"
20220622,"25200"
20220621,"26850"
20220620,"26700"
20220617,"27250"
20220616,"27800"
20220615,"27700"
20220614,"28600"
20220613,"28700"
20220610,"29850"
20220609,"29600"
20220608,"28750"
20220607,"29050"
20220603,"29450"
20220602,"28250"
20220601,"28900"
20220531,"28900"
20220530,"28550"
20220529,"28000"
20220527,"28000"
20220526,"27550"
20220525,"27300"
20220524,"27200"
20220523,"27850"
20220522,"28050"
20220520,"28050"
20220519,"27600"
20220518,"28200"
20220517,"28250"
20220516,"28500"
20220515,"28450"
20220513,"28450"
20220512,"28050"
20220511,"28300"
20220510,"28800"
20220509,"29250"
20220508,"29950"
20220506,"29950"
20220505,"29400"
20220504,"29400"
20220503,"29500"
20220502,"29600"
20220501,"30150"
20220429,"30150"
20220428,"29750"
20220427,"29250"
20220426,"29850"
20220425,"29850"
20220424,"30450"
20220422,"30450"
20220421,"30800"
20220420,"30600"
20220419,"30600"
20220418,"30200"
20220417,"30350"
20220415,"30350"
20220414,"30700"
20220413,"30550"
20220412,"30100"
20220411,"30550"
20220410,"30600"
20220408,"30600"
20220407,"30500"
20220406,"31100"
20220405,"31250"
20220404,"31600"
20220403,"31450"
20220401,"31450"
20220331,"31450"
20220330,"31450"
20220329,"31000"
20220328,"31400"
20220325,"31150"
20220324,"31250"
20220323,"31400"
20220322,"31000"
20220321,"30700"
20220318,"30400"
20220317,"30300"
20220316,"30700"
20220315,"30350"
20220314,"30400"
20220311,"30500"
20220310,"30200"
20220309,"29750"
20220308,"29750"
20220307,"30350"
20220306,"31350"
20220304,"31350"
20220303,"31350"
20220302,"31200"
20220301,"30350"
20220228,"30350"
20220227,"29500"
20220225,"29500"
20220224,"28800"
20220223,"29300"
20220222,"28500"
20220221,"29300"
20220218,"29450"
20220217,"29550"
20220216,"29250"
20220215,"28750"
20220214,"28750"
20220211,"29200"
20220210,"30000"
20220209,"30050"
20220208,"29450"
20220207,"29600"
20220204,"29700"
20220203,"29550"
20220128,"29500"
20220127,"27850"
20220126,"28700"
20220125,"28500"
20220124,"29400"
20220121,"30000"
20220120,"30300"
20220119,"30150"
20220118,"30650"
20220117,"31350"
20220116,"31950"
20220114,"31950"
20220113,"32100"
20220112,"31550"
20220111,"30950"
20220110,"31200"
20220109,"31150"
20220107,"31150"
20220106,"30550"
20220105,"31000"
20220104,"31300"
20220103,"31450"
20211230,"31400"
20211229,"31800"
20211228,"32200"
20211227,"31850"
20211224,"31950"
20211223,"31750"
20211222,"31600"
20211221,"31600"
20211220,"31550"
20211219,"32500"
20211217,"32500"
20211216,"32300"
20211215,"32100"
20211214,"32350"
20211213,"32800"
20211210,"32000"
20211209,"32350"
20211208,"31750"
20211207,"32000"
20211206,"31900"
20211205,"31750"
20211203,"31750"
20211202,"31450"
20211201,"30850"
20211130,"29850"
20211129,"30950"
20211128,"31350"
20211126,"31350"
20211125,"32200"
20211124,"32550"
20211123,"32600"
20211122,"32900"
20211119,"32450"
20211118,"32000"
20211117,"32050"
20211116,"32000"
20211115,"32300"
20211114,"31950"
20211112,"31950"
20211111,"31600"
20211110,"31750"
20211109,"32500"
20211108,"32450"
20211107,"32450"
20211105,"32450"
20211104,"32300"
20211103,"32250"
20211102,"32800"
20211101,"32750"
20211031,"33500"
20211029,"33500"
20211028,"34600"
20211027,"34800"
20211026,"34800"
20211025,"34450"
20211024,"33600"
20211022,"33600"
20211021,"33900"
20211020,"33500"
20211019,"33800"
20211018,"33950"
20211015,"33950"
20211014,"33550"
20211013,"33500"
20211012,"35000"
20211011,"34850"
20211008,"34850"
20211007,"35100"
20211006,"34400"
20211005,"35000"
20211004,"33700"
20211001,"33700"
20210930,"34250"
20210929,"34150"
20210928,"35600"
20210927,"35450"
20210926,"34650"
20210924,"34650"
20210923,"34950"
20210922,"35050"
20210917,"35050"
20210916,"35300"
20210915,"35400"
20210914,"35500"
20210913,"35250"
20210912,"35450"
20210910,"35450"
20210909,"35150"
20210908,"35950"
20210907,"36050"
20210906,"36600"
20210905,"35450"
20210903,"35450"
20210902,"35750"
20210901,"34850"
20210831,"34800"
20210830,"35050"
20210829,"35100"
20210827,"35100"
20210826,"35000"
20210825,"33300"
20210824,"32550"
20210823,"32000"
20210820,"30100"
20210819,"30650"
20210818,"31100"
20210817,"30450"
20210816,"31300"
20210813,"31300"
20210812,"31450"
20210811,"31500"
20210810,"31300"
20210809,"31150"
20210806,"30550"
20210805,"30350"
20210804,"30500"
20210803,"29800"
20210802,"29950"
20210801,"29850"
20210730,"29850"
20210729,"30150"
20210728,"30100"
20210727,"30100"
20210726,"30100"
20210723,"30400"
20210722,"30300"
20210721,"30000"
20210720,"29900"
20210719,"30250"
20210718,"30600"
20210716,"30600"
20210715,"30650"
20210714,"30400"
20210713,"30850"
20210712,"30800"
20210711,"30000"
20210709,"30000"
20210708,"30500"
20210707,"31200"
20210706,"31700"
20210705,"31650"
20210702,"31350"
20210701,"31400"
20210630,"31750"
20210629,"31350"
20210628,"31600"
20210625,"31700"
20210624,"31550"
20210623,"31350"
20210622,"31500"
20210621,"31300"
20210620,"32350"
20210618,"32350"
20210617,"32100"
20210616,"32600"
20210615,"32750"
20210614,"32350"
20210613,"32450"
20210611,"32450"
20210610,"31900"
20210609,"32400"
20210608,"32600"
20210607,"32150"
20210606,"31450"
20210604,"31450"
20210603,"31900"
20210602,"32550"
20210601,"32600"
20210531,"31400"
20210530,"31750"
20210528,"31750"
20210527,"32050"
20210526,"32200"
20210525,"32650"
20210524,"31700"
20210523,"30800"
20210521,"30800"
20210520,"30800"
20210519,"30650"
20210518,"30650"
20210517,"30300"
20210516,"31800"
20210514,"31800"
20210513,"32850"
20210512,"32050"
20210511,"34650"
20210510,"33800"
20210509,"31500"
20210507,"31500"
20210506,"31800"
20210505,"30550"
20210504,"30550"
20210503,"29800"
20210502,"30800"
20210430,"30800"
20210429,"31600"
20210428,"31900"
20210427,"31850"
20210426,"32350"
20210423,"31900"
20210422,"32200"
20210421,"31800"
20210420,"32450"
20210419,"31450"
20210418,"31550"
20210416,"31550"
20210415,"31550"
20210414,"32100"
20210413,"31350"
20210412,"31200"
20210409,"30850"
20210408,"31000"
20210407,"30950"
20210406,"30500"
20210405,"30900"
20210402,"30750"
20210401,"31650"
20210331,"31850"
20210330,"31050"
20210329,"30500"
20210326,"30200"
20210325,"29400"
20210324,"29150"
20210323,"29200"
20210322,"29750"
20210321,"29750"
20210319,"29750"
20210318,"29650"
20210317,"29550"
20210316,"29600"
20210315,"29500"
20210314,"29700"
20210312,"29700"
20210311,"29150"
20210310,"28600"
20210309,"28500"
20210308,"28750"
20210305,"28650"
20210304,"29250"
20210303,"30150"
20210302,"29550"
20210226,"29350"
20210225,"30550"
20210224,"29650"
20210223,"30850"
20210222,"31100"
20210219,"31600"
20210218,"31900"
20210217,"32900"
20210216,"33800"
20210215,"33650"
20210210,"33800"
20210209,"33250"
20210208,"33650"
20210205,"34100"
20210204,"33800"
20210203,"34000"
20210202,"33800"
20210201,"32900"
20210131,"32150"
20210129,"32150"
20210128,"33400"
20210127,"35100"
20210126,"35850"
20210125,"34600"
20210124,"34500"
20210122,"34500"
20210121,"36150"
20210120,"31400"
20210119,"31250"
20210118,"30500"
20210117,"31200"
20210115,"31200"
20210114,"30700"
20210113,"30350"
20210112,"29450"
20210111,"30300"
20210108,"31300"
20210107,"31000"
20210106,"29100"
20210105,"29500"
20210104,"29350"
20201230,"28300"
20201229,"27850"
20201228,"27900"
20201227,"27950"
20201224,"27950"
20201223,"26800"
20201222,"26200"
20201221,"26550"
20201220,"26400"
20201218,"26400"
20201217,"26550"
20201216,"26700"
20201215,"26250"
20201214,"26200"
20201213,"26550"
20201211,"26550"
20201210,"25800"
20201209,"26100"
20201208,"25650"
20201207,"25900"
20201204,"26250"
20201203,"26600"
20201202,"26700"
20201201,"26100"
20201130,"25800"
20201127,"26350"
20201126,"26450"
20201125,"26650"
20201124,"26800"
20201123,"26550"
20201122,"26150"
20201120,"26150"
20201119,"26150"
20201118,"26950"
20201117,"26800"
20201116,"27050"
20201113,"26650"
