date,price
20221229,"151000"
20221228,"154000"
20221227,"158000"
20221226,"158000"
20221225,"157000"
20221223,"157000"
20221222,"158500"
20221221,"156000"
20221220,"157000"
20221219,"159000"
20221218,"162500"
20221216,"162500"
20221215,"162000"
20221214,"163500"
20221213,"159500"
20221212,"163500"
20221211,"162500"
20221209,"162500"
20221208,"162000"
20221207,"163000"
20221206,"164500"
20221205,"165500"
20221204,"169000"
20221202,"169000"
20221201,"171500"
20221130,"169000"
20221129,"169000"
20221128,"167500"
20221127,"166000"
20221125,"166000"
20221124,"167500"
20221123,"166000"
20221122,"165500"
20221121,"168000"
20221120,"169500"
20221118,"169500"
20221117,"170000"
20221116,"172000"
20221115,"174500"
20221114,"176000"
20221113,"172000"
20221111,"172000"
20221110,"169500"
20221109,"169500"
20221108,"170000"
20221107,"169500"
20221106,"163000"
20221104,"163000"
20221103,"162000"
20221102,"165000"
20221101,"164500"
20221031,"164500"
20221030,"164000"
20221028,"164000"
20221027,"162000"
20221026,"160500"
20221025,"162500"
20221024,"161500"
20221023,"167000"
20221021,"167000"
20221020,"168500"
20221019,"168000"
20221018,"168000"
20221017,"167000"
20221016,"167000"
20221014,"167000"
20221013,"164500"
20221012,"168000"
20221011,"168000"
20221010,"175500"
20221007,"175500"
20221006,"178000"
20221005,"177000"
20221004,"179500"
20221003,"176500"
20220930,"176500"
20220929,"181500"
20220928,"179500"
20220927,"186000"
20220926,"182500"
20220925,"190500"
20220923,"190500"
20220922,"193500"
20220921,"197000"
20220920,"198500"
20220919,"201500"
20220918,"201000"
20220916,"201000"
20220915,"198000"
20220914,"198500"
20220913,"200500"
20220912,"200000"
20220908,"200000"
20220907,"202000"
20220906,"201000"
20220905,"200000"
20220904,"196500"
20220902,"196500"
20220901,"195500"
20220831,"196000"
20220830,"195500"
20220829,"188500"
20220828,"193500"
20220826,"193500"
20220825,"192000"
20220824,"188000"
20220823,"189000"
20220822,"189000"
20220821,"190000"
20220819,"190000"
20220818,"186000"
20220817,"190000"
20220816,"197500"
20220815,"196000"
20220812,"196000"
20220811,"193000"
20220810,"192500"
20220809,"193500"
20220808,"196000"
20220805,"194500"
20220804,"196500"
20220803,"197000"
20220802,"196500"
20220801,"196000"
20220729,"196000"
20220728,"195000"
20220727,"196000"
20220726,"196000"
20220725,"196000"
20220722,"191000"
20220721,"189000"
20220720,"189000"
20220719,"188500"
20220718,"185500"
20220715,"183500"
20220714,"182500"
20220713,"183500"
20220712,"179000"
20220711,"179000"
20220710,"178000"
20220708,"178000"
20220707,"175000"
20220706,"172500"
20220705,"177500"
20220704,"178000"
20220703,"180000"
20220701,"180000"
20220630,"180500"
20220629,"175500"
20220628,"186000"
20220627,"183000"
20220624,"173000"
20220623,"171000"
20220622,"171500"
20220621,"172500"
20220620,"170500"
20220619,"170000"
20220617,"170000"
20220616,"173000"
20220615,"174000"
20220614,"171500"
20220613,"175000"
20220612,"184500"
20220610,"184500"
20220609,"182500"
20220608,"183000"
20220607,"183500"
20220606,"187000"
20220603,"187000"
20220602,"187500"
20220601,"189500"
20220531,"189500"
20220530,"187500"
20220527,"185500"
20220526,"184000"
20220525,"183500"
20220524,"185000"
20220523,"188000"
20220520,"186500"
20220519,"182000"
20220518,"185500"
20220517,"185500"
20220516,"184000"
20220515,"186500"
20220513,"186500"
20220512,"180500"
20220511,"183000"
20220510,"180500"
20220509,"181500"
20220506,"182500"
20220505,"184000"
20220504,"184000"
20220503,"183500"
20220502,"187000"
20220501,"186000"
20220429,"186000"
20220428,"188500"
20220427,"187000"
20220426,"187000"
20220425,"182000"
20220422,"180000"
20220421,"183000"
20220420,"183000"
20220419,"181000"
20220418,"178500"
20220417,"177000"
20220415,"177000"
20220414,"177500"
20220413,"181000"
20220412,"178000"
20220411,"179500"
20220410,"176500"
