date,price
20221229,"59300"
20221228,"60900"
20221227,"64100"
20221226,"63700"
20221225,"62700"
20221223,"62700"
20221222,"63500"
20221221,"62000"
20221220,"62400"
20221219,"62400"
20221218,"64100"
20221216,"64100"
20221215,"64100"
20221214,"64100"
20221213,"62500"
20221212,"65100"
20221211,"65200"
20221209,"65200"
20221208,"64700"
20221207,"65000"
20221206,"65100"
20221205,"65600"
20221204,"66500"
20221202,"66500"
20221201,"68600"
20221130,"68600"
20221129,"67300"
20221128,"65400"
20221127,"65400"
20221125,"65400"
20221124,"65900"
20221123,"66300"
20221122,"65200"
20221121,"65200"
20221120,"66000"
20221118,"66000"
20221117,"66300"
20221116,"67800"
20221115,"68500"
20221114,"69900"
20221113,"68000"
20221111,"68000"
20221110,"66600"
20221109,"67400"
20221108,"67500"
20221107,"67100"
20221106,"65300"
20221104,"65300"
20221103,"64500"
20221102,"66200"
20221101,"66300"
20221031,"66300"
20221030,"66200"
20221028,"66200"
20221027,"66000"
20221026,"65500"
20221025,"66300"
20221024,"65300"
20221021,"67900"
20221020,"68400"
20221019,"69000"
20221018,"69100"
20221017,"68700"
20221016,"69000"
20221014,"69000"
20221013,"68300"
20221012,"68200"
20221011,"67400"
20221010,"71000"
20221007,"71000"
20221006,"71500"
20221005,"71100"
20221004,"72800"
20221003,"71900"
20220930,"71900"
20220929,"74500"
20220928,"73900"
20220927,"76500"
20220926,"74800"
20220925,"77600"
20220923,"77600"
20220922,"79200"
20220921,"79700"
20220920,"80400"
20220919,"80800"
20220918,"81100"
20220916,"81100"
20220915,"80000"
20220914,"80300"
20220913,"81300"
20220908,"80900"
20220907,"82300"
20220906,"81400"
20220905,"81000"
20220904,"80800"
20220902,"80800"
20220901,"80200"
20220831,"80800"
20220830,"80100"
20220829,"77500"
20220828,"78900"
20220826,"78900"
20220825,"79100"
20220824,"76600"
20220823,"77400"
20220822,"77400"
20220821,"77200"
20220819,"77200"
20220818,"76700"
20220817,"78700"
20220816,"82000"
20220815,"82400"
20220812,"82400"
20220811,"80800"
20220810,"80700"
20220809,"81500"
20220808,"81400"
20220807,"80500"
20220805,"80500"
20220804,"81300"
20220803,"81300"
20220802,"81200"
20220801,"80400"
20220731,"81200"
20220729,"81200"
20220728,"80500"
20220727,"80800"
20220726,"82500"
20220725,"82300"
20220724,"80900"
20220722,"80900"
20220721,"82000"
20220720,"81600"
20220719,"82100"
20220718,"80100"
20220717,"79100"
20220715,"79100"
20220714,"78800"
20220713,"79800"
20220712,"78700"
20220711,"78000"
20220710,"76800"
20220708,"76800"
20220707,"75700"
20220706,"75400"
20220705,"78400"
20220704,"78500"
20220703,"78000"
20220701,"78000"
20220630,"77300"
20220629,"76900"
20220628,"81900"
20220627,"80900"
20220624,"77500"
20220623,"77200"
20220622,"76400"
20220621,"77300"
20220620,"75500"
20220619,"76100"
20220617,"76100"
20220616,"77200"
