date,price
20221229,"86500"
20221228,"89400"
20221227,"89700"
20221226,"88900"
20221225,"90900"
20221223,"90900"
20221222,"90300"
20221221,"85900"
20221220,"86100"
20221219,"86900"
20221218,"87200"
20221216,"87200"
20221215,"88700"
20221214,"89900"
20221213,"88100"
20221212,"89800"
20221211,"91000"
20221209,"91000"
20221208,"89800"
20221207,"90300"
20221206,"97200"
20221205,"96800"
20221204,"96600"
20221202,"96600"
20221201,"96200"
20221130,"97600"
20221129,"93800"
20221128,"93200"
20221127,"89700"
20221125,"89700"
20221124,"90500"
20221123,"90200"
20221122,"89500"
20221121,"90100"
20221120,"92000"
20221118,"92000"
20221117,"92900"
20221116,"95600"
20221115,"96600"
20221114,"95600"
20221113,"94500"
20221111,"94500"
20221110,"91900"
20221109,"93200"
20221108,"91300"
20221107,"90900"
20221106,"88600"
20221104,"88600"
20221103,"82800"
20221102,"83700"
20221101,"82600"
20221031,"81600"
20221030,"79900"
20221028,"79900"
20221027,"80200"
20221026,"77800"
20221025,"80100"
20221024,"80900"
20221023,"80800"
20221021,"80800"
20221020,"81200"
20221019,"80600"
20221018,"82800"
20221017,"81700"
20221014,"80700"
20221013,"78100"
20221012,"79800"
20221011,"78200"
20221010,"81700"
20221007,"81700"
20221006,"80600"
20221005,"79200"
20221004,"80700"
20220930,"78600"
20220929,"78000"
20220928,"79300"
20220927,"81300"
20220926,"81800"
20220925,"84900"
20220923,"84900"
20220922,"85300"
20220921,"88000"
20220920,"89700"
20220919,"90400"
20220918,"90600"
20220916,"90600"
20220915,"92000"
20220914,"94000"
20220913,"97900"
20220912,"93800"
20220908,"93800"
20220907,"94400"
20220906,"96800"
20220905,"97200"
20220904,"97300"
20220902,"97300"
20220901,"97700"
20220831,"101000"
20220830,"97500"
20220829,"96200"
20220828,"100500"
20220826,"100500"
20220825,"99100"
20220824,"98100"
20220823,"98200"
20220822,"100000"
20220821,"101000"
20220819,"101000"
20220818,"102000"
20220817,"103500"
20220816,"102000"
20220812,"101000"
20220811,"101000"
20220810,"92800"
20220809,"94700"
20220808,"94000"
20220807,"95900"
20220805,"95900"
20220804,"96000"
20220803,"93800"
20220802,"93500"
20220801,"94400"
20220731,"94400"
20220729,"94400"
20220728,"93600"
20220727,"94300"
20220726,"93600"
20220725,"93900"
20220724,"93500"
20220722,"93500"
20220721,"94200"
20220720,"94100"
20220719,"92900"
20220718,"92500"
20220717,"90900"
20220715,"90900"
20220714,"90200"
20220713,"91100"
20220712,"90400"
20220711,"91300"
20220710,"92000"
20220708,"92000"
20220707,"95900"
20220706,"93100"
20220705,"95500"
20220704,"90200"
