date,price
20221229,"22600"
20221228,"23600"
20221227,"24550"
20221226,"24650"
20221225,"24700"
20221223,"24700"
20221222,"25000"
20221221,"24900"
20221220,"23700"
20221219,"23400"
20221218,"23800"
20221216,"23800"
20221215,"23450"
20221214,"23400"
20221213,"23400"
20221212,"22700"
20221211,"23000"
20221209,"23000"
20221208,"22700"
20221207,"22900"
20221206,"22850"
20221205,"23150"
20221204,"23500"
20221202,"23500"
20221201,"23750"
20221130,"24000"
20221129,"23950"
20221128,"23350"
20221125,"23600"
20221124,"23450"
20221123,"23700"
20221122,"22200"
20221121,"21950"
20221118,"22000"
20221117,"22300"
20221116,"22950"
20221115,"22500"
20221114,"22650"
20221113,"22800"
20221111,"22800"
20221110,"22800"
20221109,"23300"
20221108,"23100"
20221107,"23200"
20221106,"22850"
20221104,"22850"
20221103,"21550"
20221102,"21550"
20221101,"20950"
20221031,"20650"
20221028,"20300"
20221027,"20250"
20221026,"19800"
20221025,"19950"
20221024,"21050"
20221023,"20950"
20221021,"20950"
20221020,"21250"
20221019,"21400"
20221018,"21700"
20221017,"21250"
20221016,"21600"
20221014,"21600"
20221013,"21250"
20221012,"22150"
20221011,"21900"
20221010,"22450"
20221007,"22450"
20221006,"22900"
20221005,"22150"
20221004,"22600"
20220930,"20900"
20220929,"21100"
20220928,"21100"
20220927,"22100"
20220926,"22300"
20220925,"23600"
20220923,"23600"
20220922,"24300"
20220921,"23900"
20220920,"24250"
20220919,"24000"
20220918,"24350"
20220916,"24350"
20220915,"25050"
20220914,"25000"
20220913,"25550"
20220912,"25600"
20220908,"25600"
20220907,"26200"
20220906,"26800"
20220905,"27100"
20220904,"25800"
20220902,"25800"
20220901,"26050"
20220831,"26850"
20220830,"27150"
20220829,"27300"
20220828,"27700"
20220826,"27700"
20220825,"27750"
20220824,"27700"
20220823,"27700"
20220822,"27250"
20220821,"26750"
20220819,"26750"
20220818,"25150"
20220817,"24700"
20220816,"25000"
20220815,"24650"
20220812,"24650"
20220811,"22550"
20220810,"21900"
20220809,"21300"
20220808,"20900"
20220807,"20250"
20220805,"20250"
20220804,"20250"
20220803,"20950"
20220802,"20550"
20220801,"20850"
20220731,"20550"
20220729,"20550"
20220728,"19900"
20220727,"19750"
20220726,"19650"
20220725,"19450"
20220722,"19150"
20220721,"19650"
20220720,"19250"
20220719,"19350"
20220718,"18550"
20220715,"17900"
20220714,"18150"
20220713,"17950"
20220712,"18150"
20220711,"18150"
20220710,"18350"
20220708,"18350"
20220707,"17950"
20220706,"17500"
20220705,"18750"
20220704,"18600"
20220703,"19050"
20220701,"19050"
20220630,"19250"
20220629,"19700"
20220628,"19950"
20220627,"19550"
20220624,"19400"
20220623,"18950"
20220622,"19950"
20220621,"21100"
20220620,"21100"
20220619,"22500"
20220617,"22500"
20220616,"23000"
20220615,"23150"
20220614,"23800"
20220613,"24000"
20220612,"24900"
20220610,"24900"
20220609,"24550"
20220608,"24650"
20220607,"23950"
20220603,"24000"
20220602,"23750"
20220531,"23650"
20220530,"23400"
20220527,"23750"
20220526,"23600"
20220525,"23350"
20220524,"22750"
20220523,"22900"
20220522,"23200"
20220520,"23200"
20220519,"22950"
20220518,"22950"
20220517,"23750"
20220516,"23200"
20220513,"23750"
20220512,"23350"
20220511,"23000"
20220510,"23650"
20220509,"24300"
20220508,"25150"
20220506,"25150"
20220504,"24300"
20220503,"24500"
20220502,"24550"
20220501,"24700"
20220429,"24700"
20220428,"24700"
20220427,"24300"
20220426,"24300"
20220425,"24600"
20220424,"24950"
20220422,"24950"
20220421,"24900"
