date,price
20221229,"189000"
20221228,"196500"
20221227,"202500"
20221226,"200500"
20221223,"198500"
20221222,"201000"
20221221,"199500"
20221220,"200500"
20221219,"203000"
20221218,"203500"
20221216,"203500"
20221215,"203000"
20221214,"205500"
20221213,"202500"
20221212,"201500"
20221211,"203500"
20221209,"203500"
20221208,"204000"
20221207,"204000"
20221206,"209500"
20221205,"211000"
20221202,"211000"
20221201,"217500"
20221130,"219000"
20221129,"215500"
20221128,"210500"
20221125,"210000"
20221124,"208000"
20221123,"205000"
20221122,"206000"
20221121,"208500"
20221118,"211000"
20221117,"216500"
20221116,"220000"
20221115,"219000"
20221114,"222000"
20221113,"227000"
20221111,"227000"
20221110,"220000"
20221109,"223500"
20221108,"224000"
20221107,"222000"
20221104,"218000"
20221103,"219500"
20221102,"218500"
20221101,"218000"
20221031,"214000"
20221028,"210500"
20221027,"210500"
20221026,"205500"
20221025,"206500"
20221024,"202000"
20221023,"202000"
20221021,"202000"
20221020,"207500"
20221019,"204500"
20221018,"205000"
20221017,"198500"
20221014,"206000"
20221013,"199500"
20221012,"202000"
20221011,"199500"
20221007,"206000"
20221006,"202500"
20221005,"200000"
20221004,"201500"
20220930,"192000"
20220929,"195500"
20220928,"194000"
20220927,"201000"
20220926,"204000"
20220925,"214500"
20220923,"214500"
20220922,"222000"
20220921,"223500"
20220920,"225500"
20220919,"221500"
20220918,"224500"
20220916,"224500"
20220915,"228000"
20220914,"224500"
20220913,"230000"
20220912,"219500"
20220908,"219500"
20220907,"219000"
20220906,"221000"
20220905,"225000"
20220904,"224500"
20220902,"224500"
20220901,"223500"
20220831,"233000"
20220830,"227500"
20220829,"227000"
20220826,"233500"
20220825,"234500"
20220824,"232500"
20220823,"225500"
20220822,"229500"
20220821,"231500"
20220819,"231500"
20220818,"236000"
20220817,"236500"
20220816,"229500"
20220812,"230000"
20220811,"228500"
20220810,"223000"
20220809,"221000"
20220808,"219500"
20220807,"218000"
20220805,"218000"
20220804,"215500"
20220803,"216000"
20220802,"214500"
20220801,"218000"
20220729,"220000"
20220728,"218500"
20220727,"219500"
20220726,"217500"
20220725,"217500"
20220722,"214000"
20220721,"216000"
20220720,"215500"
20220719,"216000"
20220718,"212500"
20220715,"210500"
20220714,"206500"
20220713,"208500"
20220712,"206500"
20220711,"208000"
20220708,"208500"
20220707,"208000"
20220706,"205500"
20220705,"216500"
20220704,"209500"
20220701,"211500"
20220630,"215000"
20220629,"218000"
20220628,"225000"
20220627,"222000"
20220624,"222000"
20220623,"216000"
20220622,"217500"
20220621,"227000"
20220620,"224500"
20220619,"231500"
20220617,"231500"
20220616,"228500"
20220615,"227500"
20220614,"237000"
20220613,"238500"
20220610,"246500"
20220609,"249000"
20220608,"246500"
20220607,"246500"
20220606,"250000"
20220603,"250000"
20220602,"249500"
20220601,"248000"
20220531,"248000"
20220530,"243000"
20220527,"238000"
20220526,"236000"
20220525,"236500"
20220524,"233000"
20220523,"246000"
20220520,"248500"
20220519,"247000"
20220518,"248000"
20220517,"250000"
20220516,"245500"
20220513,"245000"
20220512,"242500"
20220511,"244000"
20220510,"246500"
20220509,"248500"
20220508,"258500"
20220506,"258500"
20220504,"260500"
20220503,"261000"
20220502,"269000"
20220501,"268000"
20220429,"268000"
20220428,"269000"
20220427,"261500"
20220426,"262000"
20220425,"259000"
20220422,"265000"
20220421,"265000"
20220420,"257000"
20220419,"251000"
20220418,"249500"
20220417,"250500"
20220415,"250500"
20220414,"249500"
20220413,"248500"
