date,price
20221229,"448000"
20221228,"433500"
20221227,"432000"
20221226,"432000"
20221223,"429500"
20221222,"438500"
20221221,"434500"
20221220,"438500"
20221219,"442500"
20221218,"438500"
20221216,"438500"
20221215,"434000"
20221214,"453000"
20221213,"430500"
20221212,"468000"
20221211,"468000"
20221209,"468000"
20221208,"466000"
20221207,"460000"
20221206,"455000"
20221205,"454500"
20221202,"469500"
20221201,"464000"
20221130,"470500"
20221129,"454500"
20221128,"453000"
20221125,"453000"
20221124,"459500"
20221123,"457500"
20221122,"448500"
20221121,"459000"
20221120,"451000"
20221118,"451000"
20221117,"479500"
20221116,"461000"
20221115,"456500"
20221114,"442000"
20221113,"465000"
20221111,"465000"
20221110,"410000"
20221109,"411000"
20221108,"412000"
20221107,"403000"
20221106,"404500"
20221104,"404500"
20221103,"385500"
20221102,"400500"
20221101,"385500"
20221031,"390000"
20221028,"383000"
20221027,"378500"
20221026,"380500"
20221025,"372500"
20221024,"370500"
20221023,"360000"
20221021,"360000"
20221020,"358000"
20221019,"362500"
20221018,"355500"
20221017,"328000"
20221016,"335500"
20221014,"335500"
20221013,"322500"
20221012,"337000"
20221011,"336000"
20221007,"349000"
20221006,"350500"
20221005,"346500"
20221004,"356000"
20220930,"346000"
20220929,"334500"
20220928,"323500"
20220927,"329000"
20220926,"327000"
20220923,"330000"
20220922,"347000"
20220921,"356500"
20220920,"357000"
20220919,"353000"
20220916,"368000"
20220915,"368500"
20220914,"372500"
20220913,"382500"
20220908,"371500"
20220907,"368500"
20220906,"374500"
20220905,"377500"
20220904,"368000"
20220902,"368000"
20220901,"377000"
20220831,"378500"
20220830,"372000"
20220829,"359500"
20220826,"368500"
20220825,"368500"
20220824,"361000"
20220823,"363500"
20220822,"372500"
20220819,"374500"
20220818,"382500"
20220817,"382500"
20220816,"378000"
20220815,"385000"
20220812,"385000"
20220811,"405000"
20220810,"393500"
20220809,"412000"
20220808,"388500"
20220807,"387500"
20220805,"387500"
20220804,"385500"
20220803,"380500"
20220802,"366500"
20220801,"373000"
20220731,"372500"
20220729,"372500"
20220728,"364500"
20220727,"362500"
20220726,"369500"
20220725,"370000"
20220722,"373500"
20220721,"376000"
20220720,"372000"
20220719,"367500"
20220718,"367500"
20220715,"363500"
20220714,"367500"
20220713,"366500"
20220712,"358000"
20220711,"363500"
20220710,"373500"
20220708,"373500"
20220707,"376000"
20220706,"360500"
20220705,"362500"
20220704,"354500"
20220703,"350000"
20220701,"350000"
20220630,"349500"
20220629,"388500"
20220628,"398500"
20220627,"417500"
20220626,"435000"
20220624,"435000"
20220623,"418500"
20220622,"404500"
20220621,"411500"
20220620,"399500"
20220619,"398000"
20220617,"398000"
20220616,"401000"
20220615,"411000"
20220614,"427000"
20220613,"436500"
20220612,"457000"
20220610,"457000"
20220609,"465500"
20220608,"459000"
20220607,"441500"
20220606,"449500"
20220603,"449500"
20220602,"456000"
20220601,"455000"
20220531,"455000"
20220530,"456000"
20220529,"451000"
20220527,"451000"
20220526,"454500"
20220525,"444500"
20220524,"442500"
20220523,"455000"
20220522,"450000"
20220520,"450000"
20220519,"429500"
20220518,"435500"
20220517,"421500"
20220516,"420500"
20220515,"439500"
20220513,"439500"
20220512,"398500"
20220511,"413000"
20220510,"408000"
20220509,"411000"
20220506,"414000"
20220504,"423000"
20220503,"432500"
20220502,"425000"
20220429,"421500"
20220428,"412500"
20220427,"410000"
20220426,"420000"
20220425,"412500"
20220424,"422500"
20220422,"422500"
20220421,"437000"
20220420,"440000"
20220419,"439500"
20220418,"438500"
20220417,"443000"
20220415,"443000"
20220414,"447000"
20220413,"458500"
20220412,"458000"
20220411,"453500"
20220410,"458000"
20220408,"458000"
20220407,"462000"
20220406,"474000"
20220405,"480000"
20220404,"476000"
20220403,"467000"
20220401,"467000"
20220331,"467500"
20220330,"465000"
20220329,"462000"
20220328,"457000"
20220327,"463500"
20220325,"463500"
20220324,"462500"
20220323,"469000"
20220322,"463000"
20220321,"463500"
20220318,"467000"
20220317,"467000"
20220316,"440000"
20220315,"440000"
20220314,"444500"
20220313,"452000"
20220311,"452000"
20220310,"443500"
20220309,"430500"
20220308,"430500"
20220307,"424500"
20220306,"437000"
20220304,"437000"
20220303,"459500"
20220302,"452000"
20220301,"443500"
20220228,"443500"
20220227,"444000"
20220225,"444000"
20220224,"448500"
20220223,"463500"
20220222,"462500"
20220221,"484000"
20220220,"492500"
20220218,"492500"
20220217,"501000"
20220216,"492500"
20220215,"513000"
20220214,"510000"
20220213,"511000"
20220211,"511000"
20220210,"550000"
20220209,"540000"
20220208,"540000"
20220207,"540000"
20220206,"530000"
20220204,"530000"
20220203,"532000"
20220128,"536000"
20220127,"536000"
20220126,"562000"
20220125,"558000"
20220124,"567000"
20220123,"565000"
20220121,"565000"
20220120,"578000"
20220119,"582000"
20220118,"578000"
20220117,"588000"
20220116,"583000"
20220114,"583000"
20220113,"605000"
20220112,"616000"
20220111,"604000"
20220110,"614000"
20220109,"606000"
20220107,"606000"
20220106,"601000"
20220105,"625000"
20220104,"657000"
20220103,"667000"
20211230,"643000"
20211229,"660000"
20211228,"656000"
20211227,"657000"
20211226,"656000"
20211224,"656000"
20211223,"656000"
20211222,"665000"
20211221,"663000"
20211220,"655000"
20211219,"670000"
20211217,"670000"
20211216,"680000"
20211215,"673000"
20211214,"697000"
20211213,"714000"
20211212,"727000"
20211210,"727000"
20211209,"737000"
20211208,"732000"
20211207,"717000"
20211206,"712000"
20211205,"728000"
20211203,"728000"
20211202,"690000"
20211201,"701000"
20211130,"681000"
20211129,"689000"
20211128,"695000"
20211126,"695000"
20211125,"700000"
20211124,"710000"
20211123,"708000"
20211122,"748000"
20211121,"750000"
20211119,"750000"
20211118,"760000"
20211117,"725000"
20211116,"705000"
20211115,"660000"
20211114,"715000"
20211112,"715000"
20211111,"786000"
20211110,"605000"
20211109,"627000"
20211108,"629000"
20211107,"624000"
20211105,"624000"
20211104,"595000"
20211103,"657000"
20211102,"643000"
20211101,"648000"
20211031,"627000"
20211029,"627000"
20211028,"621000"
20211027,"639000"
20211026,"627000"
20211025,"622000"
20211024,"628000"
20211022,"628000"
20211021,"619000"
20211020,"624000"
20211019,"629000"
20211018,"596000"
20211017,"607000"
20211015,"607000"
20211014,"582000"
20211013,"576000"
20211012,"558000"
20211011,"578000"
20211008,"578000"
20211007,"571000"
20211006,"560000"
20211005,"563000"
20211004,"595000"
20211001,"595000"
20210930,"603000"
20210929,"574000"
20210928,"571000"
20210927,"583000"
20210926,"596000"
20210924,"596000"
20210923,"584000"
20210922,"587000"
20210917,"587000"
20210916,"589000"
20210915,"596000"
20210914,"599000"
20210913,"591000"
20210912,"607000"
20210910,"607000"
20210909,"611000"
20210908,"612000"
20210907,"616000"
20210906,"633000"
20210905,"622000"
20210903,"622000"
20210902,"633000"
20210901,"637000"
20210831,"660000"
20210830,"649000"
20210829,"659000"
20210827,"659000"
20210826,"709000"
20210825,"837000"
20210824,"847000"
20210823,"824000"
20210822,"826000"
20210820,"826000"
20210819,"853000"
20210818,"788000"
20210817,"771000"
20210816,"786000"
20210813,"786000"
20210812,"806000"
20210811,"790000"
20210810,"815000"
20210809,"822000"
20210808,"823000"
20210806,"823000"
20210805,"817000"
20210804,"812000"
20210803,"810000"
20210802,"824000"
20210801,"824000"
20210730,"824000"
20210729,"841000"
20210728,"809000"
20210727,"806000"
20210726,"823000"
20210723,"812000"
20210722,"794000"
20210721,"809000"
20210720,"819000"
20210719,"827000"
20210718,"839000"
20210716,"839000"
20210715,"804000"
20210714,"778000"
20210713,"777000"
20210712,"772000"
20210711,"800000"
20210709,"800000"
20210708,"834000"
20210707,"834000"
20210706,"839000"
20210705,"826000"
20210704,"818000"
20210702,"818000"
20210701,"834000"
20210630,"820000"
20210629,"822000"
20210628,"823000"
20210627,"826000"
20210625,"826000"
20210624,"830000"
20210623,"825000"
20210622,"812000"
20210621,"820000"
20210620,"818000"
20210618,"818000"
20210617,"824000"
20210616,"848000"
20210615,"853000"
20210614,"858000"
20210613,"841000"
20210611,"841000"
20210610,"849000"
20210609,"858000"
20210608,"843000"
20210607,"843000"
20210604,"843000"
20210603,"851000"
20210602,"854000"
20210601,"872000"
20210531,"868000"
20210530,"852000"
20210528,"852000"
20210527,"851000"
20210526,"856000"
20210525,"859000"
20210524,"846000"
20210523,"853000"
20210521,"853000"
20210520,"822000"
20210519,"823000"
20210518,"823000"
20210517,"815000"
20210516,"831000"
20210514,"831000"
20210513,"841000"
20210512,"847000"
20210511,"850000"
20210510,"878000"
20210509,"830000"
20210507,"830000"
20210506,"806000"
20210505,"818000"
20210504,"818000"
20210503,"820000"
20210502,"830000"
20210430,"830000"
20210429,"837000"
20210428,"835000"
20210427,"858000"
20210426,"861000"
20210425,"849000"
20210423,"849000"
20210422,"850000"
20210421,"857000"
20210420,"882000"
20210419,"894000"
20210418,"912000"
20210416,"912000"
20210415,"920000"
20210414,"916000"
20210413,"914000"
20210412,"906000"
20210411,"925000"
20210409,"925000"
20210408,"899000"
20210407,"868000"
20210406,"870000"
20210405,"885000"
20210404,"885000"
20210402,"885000"
20210401,"875000"
20210331,"873000"
20210330,"845000"
20210329,"834000"
20210328,"898000"
20210326,"898000"
20210325,"906000"
20210324,"936000"
20210323,"931000"
20210322,"932000"
20210321,"933000"
20210319,"933000"
20210318,"939000"
20210317,"940000"
20210316,"954000"
20210315,"930000"
20210314,"935000"
20210312,"935000"
20210311,"931000"
20210310,"932000"
20210309,"931000"
20210308,"931000"
20210307,"931000"
20210305,"931000"
20210304,"960000"
20210303,"962000"
20210302,"946000"
20210226,"936000"
20210225,"972000"
20210224,"934000"
20210223,"931000"
20210222,"931000"
20210221,"997000"
20210219,"997000"
20210218,"995000"
20210217,"999000"
20210216,"1015000"
20210215,"999000"
20210214,"1027000"
20210210,"1027000"
20210209,"1006000"
20210208,"1038000"
20210207,"976000"
20210205,"976000"
20210204,"962000"
20210203,"1008000"
20210202,"984000"
20210201,"953000"
20210131,"953000"
20210129,"953000"
20210128,"968000"
20210127,"978000"
20210126,"953000"
20210125,"995000"
20210124,"989000"
20210122,"989000"
20210121,"970000"
20210120,"965000"
20210119,"957000"
20210118,"938000"
20210117,"935000"
20210115,"935000"
20210114,"939000"
20210113,"940000"
20210112,"947000"
20210111,"978000"
20210110,"995000"
20210108,"995000"
20210107,"947000"
20210106,"953000"
20210105,"985000"
20210104,"978000"
20201230,"931000"
20201229,"913000"
20201228,"898000"
20201227,"897000"
20201224,"897000"
20201223,"888000"
20201222,"865000"
20201221,"864000"
20201220,"863000"
20201218,"863000"
20201217,"868000"
20201216,"868000"
20201215,"875000"
20201214,"885000"
20201213,"888000"
20201211,"888000"
20201210,"878000"
20201209,"879000"
20201208,"874000"
20201207,"871000"
20201206,"867000"
20201204,"867000"
20201203,"878000"
20201202,"859000"
20201201,"852000"
20201130,"810000"
20201129,"822000"
20201127,"822000"
20201126,"816000"
20201125,"805000"
20201124,"820000"
20201123,"822000"
20201122,"828000"
20201120,"828000"
20201119,"828000"
20201118,"800000"
20201117,"789000"
20201116,"800000"
20201115,"808000"
20201113,"808000"
20201112,"791000"
20201111,"801000"
20201110,"797000"
20201109,"844000"
20201108,"848000"
20201106,"848000"
20201105,"843000"
20201104,"837000"
20201103,"782000"
20201102,"778000"
20201101,"776000"
20201030,"776000"
20201029,"813000"
20201028,"802000"
20201027,"782000"
20201026,"796000"
20201025,"796000"
20201023,"796000"
20201022,"811000"
20201021,"809000"
20201020,"794000"
20201019,"771000"
20201018,"767000"
20201016,"767000"
20201015,"750000"
20201014,"752000"
20201013,"754000"
20201012,"754000"
20201011,"751000"
20201008,"751000"
20201007,"768000"
20201006,"788000"
20201005,"789000"
20200929,"806000"
20200928,"799000"
20200925,"784000"
20200924,"787000"
20200923,"805000"
20200922,"787000"
20200921,"804000"
20200920,"821000"
20200918,"821000"
20200917,"805000"
20200916,"822000"
20200915,"824000"
20200914,"830000"
20200911,"818000"
20200910,"830000"
20200909,"791000"
20200908,"811000"
20200907,"812000"
20200906,"813000"
20200904,"813000"
20200903,"835000"
20200902,"850000"
20200901,"828000"
20200831,"825000"
20200830,"856000"
20200828,"856000"
20200827,"863000"
20200826,"818000"
20200825,"826000"
20200824,"841000"
20200823,"823000"
20200821,"823000"
20200820,"783000"
20200819,"841000"
20200818,"834000"
20200817,"872000"
20200814,"872000"
20200813,"897000"
20200812,"850000"
20200811,"840000"
20200810,"841000"
20200809,"865000"
20200807,"865000"
20200806,"854000"
20200805,"846000"
20200804,"846000"
