date,price
20221229,"12950"
20221228,"12650"
20221227,"13000"
20221226,"12950"
20221225,"12950"
20221223,"12950"
20221222,"13550"
20221221,"13500"
20221220,"13600"
20221219,"14000"
20221216,"13900"
20221215,"14250"
20221214,"14300"
20221213,"14050"
20221212,"14250"
20221209,"14150"
20221208,"13500"
20221207,"13700"
20221206,"13750"
20221205,"14250"
20221204,"14300"
20221202,"14300"
20221201,"14300"
20221130,"14000"
20221129,"13900"
20221128,"13650"
20221127,"14200"
20221125,"14200"
20221124,"14800"
20221123,"14600"
20221122,"14250"
20221121,"14650"
20221120,"14900"
20221118,"14900"
20221117,"15500"
20221116,"15400"
20221115,"15500"
20221114,"14750"
20221111,"15450"
20221110,"14650"
20221109,"15350"
20221108,"15200"
20221107,"15050"
20221106,"14650"
20221104,"14650"
20221103,"14600"
20221102,"14800"
20221101,"14700"
20221031,"14650"
20221030,"14100"
20221028,"14100"
20221027,"14400"
20221026,"13950"
20221025,"14050"
20221024,"13800"
20221023,"14850"
20221021,"14850"
20221020,"14050"
20221019,"14250"
20221018,"14350"
20221017,"14100"
20221016,"13900"
20221014,"13900"
20221013,"12750"
20221012,"13350"
20221011,"13350"
20221010,"14150"
20221007,"14150"
20221006,"14600"
20221005,"14250"
20221004,"14950"
20220930,"14900"
20220929,"14400"
20220928,"15200"
20220927,"16100"
20220926,"15750"
20220925,"16200"
20220923,"16200"
20220922,"17450"
20220921,"17700"
20220920,"18700"
20220919,"19100"
20220916,"18050"
20220915,"17500"
20220914,"16900"
20220913,"16500"
20220908,"15950"
20220907,"15600"
20220906,"16000"
20220905,"16250"
20220904,"16000"
20220902,"16000"
20220901,"16150"
20220831,"16750"
20220830,"16800"
20220829,"16450"
20220828,"17350"
20220826,"17350"
20220825,"17750"
20220824,"21350"
20220823,"20050"
20220822,"19300"
20220821,"22350"
20220819,"22350"
20220818,"23150"
20220817,"22850"
20220816,"22100"
20220815,"21700"
20220812,"21700"
20220811,"22100"
20220810,"21900"
20220809,"21950"
20220808,"22000"
20220805,"22200"
20220804,"22950"
20220803,"23000"
20220802,"22300"
20220801,"22300"
20220729,"22550"
20220728,"22150"
20220727,"20900"
20220726,"19750"
20220725,"19500"
20220724,"19700"
20220722,"19700"
20220721,"20600"
20220720,"20250"
20220719,"20350"
20220718,"20350"
20220715,"20000"
20220714,"19200"
20220713,"19100"
20220712,"18150"
20220711,"18900"
20220710,"17450"
20220708,"17450"
20220707,"16700"
20220706,"16800"
20220705,"15700"
20220704,"14800"
20220701,"15150"
20220630,"15400"
20220629,"16450"
20220628,"16550"
20220627,"15650"
20220624,"15350"
20220623,"14100"
20220622,"14550"
20220621,"15550"
20220620,"15600"
20220619,"15950"
20220617,"15950"
20220616,"15750"
20220615,"16250"
20220614,"18000"
20220613,"18900"
20220612,"23800"
20220610,"23800"
20220609,"24350"
20220608,"24350"
20220607,"25350"
20220606,"25600"
20220603,"25600"
20220602,"24300"
20220601,"24250"
20220531,"24250"
20220530,"23700"
20220527,"23600"
20220526,"22500"
20220525,"22250"
20220524,"21300"
20220523,"21700"
20220522,"20700"
20220520,"20700"
20220519,"19800"
20220518,"19800"
20220517,"20000"
20220516,"19850"
20220515,"19150"
20220513,"19150"
20220512,"18600"
20220511,"19900"
20220510,"20000"
20220509,"20000"
20220508,"20500"
20220506,"20500"
20220505,"21900"
20220504,"21900"
20220503,"22750"
20220502,"23500"
20220501,"23850"
20220429,"23850"
20220428,"23600"
20220427,"24250"
20220426,"23600"
20220425,"23650"
20220424,"23400"
20220422,"23400"
20220421,"22500"
20220420,"21750"
20220419,"22600"
20220418,"22900"
20220417,"25000"
20220415,"25000"
20220414,"27600"
20220413,"27200"
20220412,"26050"
20220411,"25350"
20220410,"24500"
20220408,"24500"
20220407,"23550"
20220406,"24800"
20220405,"25250"
20220404,"25050"
20220401,"24550"
20220331,"25150"
20220330,"25150"
20220329,"25400"
20220328,"27050"
20220327,"28700"
20220325,"28700"
