date,price
20221229,"55300"
20221228,"56600"
20221227,"58100"
20221226,"57900"
20221225,"58100"
20221223,"58100"
20221222,"59100"
20221221,"58000"
20221220,"58600"
20221219,"59500"
20221218,"59500"
20221216,"59500"
20221215,"59300"
20221214,"60500"
20221213,"59700"
20221212,"59500"
20221211,"60400"
20221209,"60400"
20221208,"59200"
20221207,"58900"
20221206,"59200"
20221205,"60300"
20221204,"60400"
20221202,"60400"
20221201,"62600"
20221130,"62200"
20221129,"60600"
20221128,"60100"
20221127,"61000"
20221125,"61000"
20221124,"61400"
20221123,"61000"
20221122,"60600"
20221121,"61400"
20221120,"61800"
20221118,"61800"
20221117,"61400"
20221116,"62700"
20221115,"62400"
20221114,"61900"
20221113,"62900"
20221111,"62900"
20221110,"60400"
20221109,"62000"
20221108,"61800"
20221107,"60200"
20221106,"59400"
20221104,"59400"
20221103,"59200"
20221102,"59600"
20221101,"60000"
20221031,"59400"
20221030,"57300"
20221028,"57300"
20221027,"59500"
20221026,"59400"
20221025,"57700"
20221024,"57500"
20221023,"55900"
20221021,"55900"
20221020,"55500"
20221019,"55800"
20221018,"56500"
20221017,"56600"
20221016,"56300"
20221014,"56300"
20221013,"55200"
20221012,"55800"
20221011,"55400"
20221010,"56200"
20221007,"56200"
20221006,"56300"
20221005,"56000"
20221004,"55200"
20221003,"53100"
20220930,"53100"
20220929,"52600"
20220928,"52900"
20220927,"54200"
20220926,"53900"
20220925,"54500"
20220923,"54500"
20220922,"54400"
20220921,"55300"
20220920,"55800"
20220919,"56400"
20220918,"56200"
20220916,"56200"
20220915,"56000"
20220914,"56800"
20220913,"58100"
20220912,"55600"
20220908,"55600"
20220907,"56000"
20220906,"57100"
20220905,"57100"
20220904,"57500"
20220902,"57500"
20220901,"58400"
20220831,"59700"
20220830,"58800"
20220829,"58600"
20220826,"60000"
20220825,"59700"
20220824,"59000"
20220823,"59100"
20220822,"60000"
20220821,"60900"
20220819,"60900"
20220818,"61500"
20220817,"60400"
20220816,"61000"
20220815,"60200"
20220812,"60200"
20220811,"59900"
20220810,"59100"
20220809,"60000"
20220808,"60800"
20220807,"61500"
20220805,"61500"
20220804,"61500"
20220803,"61300"
20220802,"61700"
20220801,"61300"
20220731,"61400"
20220729,"61400"
20220728,"61900"
20220727,"61800"
20220726,"61700"
20220725,"61100"
20220724,"61300"
20220722,"61300"
20220721,"61800"
20220720,"60500"
20220719,"60900"
20220718,"61900"
20220717,"60000"
20220715,"60000"
20220714,"57500"
20220713,"58000"
20220712,"58100"
20220711,"58800"
20220710,"58700"
20220708,"58700"
20220707,"58200"
20220706,"56400"
20220705,"57200"
20220704,"57100"
20220703,"56200"
20220701,"56200"
20220630,"57000"
20220629,"58000"
20220628,"59400"
20220627,"58800"
20220626,"58400"
20220624,"58400"
20220623,"57400"
20220622,"57600"
20220621,"58500"
20220620,"58700"
20220619,"59800"
20220617,"59800"
20220616,"60900"
20220615,"60700"
20220614,"61900"
20220613,"62100"
20220612,"63800"
20220610,"63800"
20220609,"65200"
20220608,"65300"
20220607,"65500"
20220606,"66800"
20220603,"66800"
20220602,"66700"
20220601,"67400"
20220531,"67400"
20220530,"67700"
20220529,"66500"
20220527,"66500"
20220526,"65900"
20220525,"66400"
20220524,"66500"
20220523,"67900"
20220522,"68000"
20220520,"68000"
20220519,"67500"
20220518,"68100"
20220517,"67600"
20220516,"66300"
20220515,"66500"
20220513,"66500"
20220512,"64900"
20220511,"65700"
20220510,"65700"
20220509,"66100"
20220508,"66500"
20220506,"66500"
20220505,"67900"
20220504,"67900"
20220503,"67500"
20220502,"67300"
20220501,"67400"
20220429,"67400"
20220428,"64800"
20220427,"65000"
20220426,"66100"
20220425,"66300"
20220424,"67000"
20220422,"67000"
20220421,"67700"
20220420,"67400"
20220419,"67300"
20220418,"66700"
