date,price
2023-09-15,"252,500"
2023-09-14,"250,500"
2023-09-13,"243,500"
2023-09-12,"247,500"
2023-09-11,"246,500"
2023-09-10,"244,500"
2023-09-08,"244,500"
2023-09-07,"247,500"
2023-09-06,"248,500"
2023-09-05,"251,000"
2023-09-04,"254,000"
2023-09-01,"253,500"
2023-08-31,"251,500"
2023-08-30,"255,000"
2023-08-29,"254,000"
2023-08-28,"252,000"
2023-08-25,"247,000"
2023-08-24,"252,500"
2023-08-23,"246,000"
2023-08-22,"256,500"
2023-08-21,"256,500"
2023-08-20,"250,000"
2023-08-18,"250,000"
2023-08-17,"253,000"
2023-08-16,"257,000"
2023-08-15,"262,500"
2023-08-14,"262,500"
2023-08-13,"263,500"
2023-08-11,"263,500"
2023-08-10,"261,500"
2023-08-09,"262,500"
2023-08-08,"278,500"
2023-08-07,"281,500"
2023-08-06,"275,500"
2023-08-04,"275,500"
2023-08-03,"274,000"
2023-08-02,"278,000"
2023-08-01,"282,000"
2023-07-31,"276,500"
2023-07-30,"273,000"
2023-07-28,"273,000"
2023-07-27,"271,500"
2023-07-26,"260,500"
2023-07-25,"269,500"
2023-07-24,"276,000"
2023-07-23,"285,000"
2023-07-21,"285,000"
2023-07-20,"285,000"
2023-07-19,"287,500"
2023-07-18,"284,500"
2023-07-17,"291,000"
2023-07-14,"294,500"
2023-07-13,"291,500"
2023-07-12,"286,000"
2023-07-11,"285,500"
2023-07-10,"281,000"
2023-07-09,"279,500"
2023-07-07,"279,500"
2023-07-06,"287,500"
2023-07-05,"294,000"
2023-07-04,"294,000"
2023-07-03,"297,500"
2023-07-02,"295,000"
2023-06-30,"295,000"
2023-06-29,"293,500"
2023-06-28,"298,500"
2023-06-27,"299,500"
2023-06-26,"300,000"
2023-06-25,"301,500"
2023-06-23,"301,500"
2023-06-22,"303,000"
2023-06-21,"301,500"
2023-06-20,"308,500"
2023-06-19,"302,000"
2023-06-18,"302,500"
2023-06-16,"302,500"
2023-06-15,"309,000"
2023-06-14,"308,000"
2023-06-13,"312,500"
2023-06-12,"309,000"
2023-06-11,"315,000"
2023-06-09,"315,000"
2023-06-08,"311,000"
2023-06-07,"315,000"
2023-06-06,"320,000"
2023-06-05,"320,000"
2023-06-02,"319,500"
2023-06-01,"321,000"
2023-05-31,"321,000"
2023-05-30,"323,500"
2023-05-29,"333,500"
2023-05-26,"333,500"
2023-05-25,"358,000"
2023-05-24,"382,000"
2023-05-23,"388,500"
2023-05-22,"388,000"
2023-05-21,"375,000"
2023-05-19,"375,000"
2023-05-18,"371,000"
2023-05-17,"366,500"
2023-05-16,"367,000"
2023-05-15,"365,000"
2023-05-12,"379,500"
2023-05-11,"372,500"
2023-05-10,"387,000"
2023-05-09,"394,000"
2023-05-08,"395,500"
2023-05-04,"387,500"
2023-05-03,"392,500"
2023-05-02,"388,000"
2023-05-01,"377,000"
2023-04-28,"377,000"
2023-04-27,"363,000"
2023-04-26,"367,500"
2023-04-25,"356,000"
2023-04-24,"363,500"
2023-04-23,"367,000"
2023-04-21,"367,000"
2023-04-20,"371,500"
2023-04-19,"374,000"
2023-04-18,"377,000"
2023-04-17,"377,000"
2023-04-16,"380,000"
2023-04-14,"380,000"
2023-04-13,"374,500"
2023-04-12,"371,000"
2023-04-11,"368,500"
2023-04-10,"371,500"
2023-04-07,"370,000"
2023-04-06,"378,500"
2023-04-05,"381,000"
2023-04-04,"385,500"
2023-04-03,"370,500"
2023-03-31,"371,500"
2023-03-30,"371,500"
2023-03-29,"371,000"
2023-03-28,"372,500"
2023-03-27,"372,000"
2023-03-26,"378,000"
2023-03-24,"378,000"
2023-03-23,"380,000"
2023-03-22,"388,500"
2023-03-21,"379,500"
2023-03-20,"376,500"
2023-03-19,"383,500"
2023-03-17,"383,500"
2023-03-16,"372,500"
2023-03-15,"380,500"
2023-03-14,"389,000"
2023-03-13,"396,500"
2023-03-12,"396,000"
2023-03-10,"396,000"
2023-03-09,"405,000"
2023-03-08,"410,500"
2023-03-07,"420,000"
2023-03-06,"434,500"
2023-03-03,"422,500"
2023-03-02,"432,500"
2023-03-01,"434,500"
2023-02-28,"434,500"
2023-02-27,"431,000"
2023-02-26,"438,500"
2023-02-24,"438,500"
2023-02-23,"452,500"
2023-02-22,"440,000"
2023-02-21,"445,000"
2023-02-20,"433,500"
2023-02-19,"413,500"
2023-02-17,"413,500"
2023-02-16,"413,500"
2023-02-15,"409,500"
2023-02-14,"421,500"
2023-02-13,"428,000"
2023-02-12,"428,000"
2023-02-10,"428,000"
2023-02-09,"447,500"
2023-02-08,"474,500"
2023-02-07,"467,000"
2023-02-06,"461,000"
2023-02-03,"472,000"
2023-02-02,"466,000"
2023-02-01,"458,500"
2023-01-31,"454,000"
