date,price
2023-09-15,"15,980"
2023-09-14,"15,730"
2023-09-13,"15,470"
2023-09-12,"15,720"
2023-09-11,"15,700"
2023-09-10,"16,120"
2023-09-08,"16,120"
2023-09-07,"15,950"
2023-09-06,"16,190"
2023-09-05,"16,840"
2023-09-04,"17,250"
2023-09-03,"17,220"
2023-09-01,"17,220"
2023-08-31,"17,600"
2023-08-30,"17,810"
2023-08-29,"17,810"
2023-08-28,"17,400"
2023-08-25,"17,650"
2023-08-24,"17,620"
2023-08-23,"17,240"
2023-08-22,"17,120"
2023-08-21,"17,100"
2023-08-20,"16,640"
2023-08-18,"16,640"
2023-08-17,"17,060"
2023-08-16,"17,230"
2023-08-15,"17,700"
2023-08-14,"17,700"
2023-08-13,"18,200"
2023-08-11,"18,200"
2023-08-10,"18,100"
2023-08-09,"17,950"
2023-08-08,"17,950"
2023-08-07,"17,700"
2023-08-06,"18,940"
2023-08-04,"18,940"
2023-08-03,"22,100"
2023-08-02,"22,750"
2023-08-01,"22,500"
2023-07-31,"21,500"
2023-07-30,"20,750"
2023-07-28,"20,750"
2023-07-27,"20,050"
2023-07-26,"19,870"
2023-07-25,"20,900"
2023-07-24,"20,100"
2023-07-21,"21,100"
2023-07-20,"21,200"
2023-07-19,"20,500"
2023-07-18,"21,450"
2023-07-17,"21,400"
2023-07-16,"21,750"
2023-07-14,"21,750"
2023-07-13,"22,300"
2023-07-12,"21,450"
2023-07-11,"21,850"
2023-07-10,"21,150"
2023-07-07,"21,850"
2023-07-06,"21,850"
2023-07-05,"21,500"
2023-07-04,"22,050"
2023-07-03,"22,750"
2023-07-02,"22,650"
2023-06-30,"22,650"
2023-06-29,"23,050"
2023-06-28,"23,750"
2023-06-27,"24,150"
2023-06-26,"24,300"
2023-06-25,"24,250"
2023-06-23,"24,250"
2023-06-22,"24,900"
2023-06-21,"22,500"
2023-06-20,"23,000"
2023-06-19,"22,650"
2023-06-18,"21,050"
2023-06-16,"21,050"
2023-06-15,"19,180"
2023-06-14,"19,360"
2023-06-13,"19,260"
2023-06-12,"19,180"
2023-06-11,"20,650"
2023-06-09,"20,650"
2023-06-08,"20,350"
2023-06-07,"20,350"
2023-06-05,"20,400"
2023-06-02,"20,350"
2023-06-01,"20,750"
2023-05-31,"20,500"
2023-05-30,"19,730"
2023-05-29,"19,100"
2023-05-26,"19,100"
2023-05-25,"19,440"
2023-05-24,"19,600"
2023-05-23,"20,400"
2023-05-22,"21,050"
2023-05-21,"20,700"
2023-05-19,"20,700"
2023-05-18,"20,550"
2023-05-17,"21,200"
2023-05-16,"20,900"
2023-05-15,"20,750"
2023-05-12,"19,620"
2023-05-11,"20,250"
2023-05-10,"20,350"
2023-05-09,"20,500"
2023-05-08,"21,000"
2023-05-07,"20,100"
2023-05-04,"20,100"
2023-05-03,"20,350"
2023-05-02,"19,540"
2023-05-01,"18,580"
2023-04-28,"18,580"
2023-04-27,"18,450"
2023-04-26,"18,210"
2023-04-25,"17,640"
2023-04-24,"18,000"
2023-04-23,"18,130"
2023-04-21,"18,130"
2023-04-20,"20,200"
2023-04-19,"22,150"
2023-04-18,"21,700"
2023-04-17,"22,400"
2023-04-14,"21,300"
2023-04-13,"20,850"
2023-04-12,"19,750"
2023-04-11,"20,500"
2023-04-10,"20,500"
2023-04-09,"21,550"
2023-04-07,"21,550"
2023-04-06,"19,200"
2023-04-05,"19,790"
2023-04-04,"20,100"
2023-04-03,"19,840"
2023-04-02,"18,500"
2023-03-31,"18,500"
2023-03-30,"16,840"
2023-03-29,"17,190"
2023-03-28,"18,100"
2023-03-27,"16,870"
2023-03-26,"16,740"
2023-03-24,"16,740"
2023-03-23,"16,690"
2023-03-22,"16,690"
2023-03-21,"16,700"
2023-03-20,"14,680"
2023-03-19,"14,040"
2023-03-17,"14,040"
2023-03-16,"13,460"
2023-03-15,"13,910"
2023-03-14,"13,100"
2023-03-13,"13,690"
2023-03-12,"13,630"
2023-03-10,"13,630"
2023-03-09,"13,970"
2023-03-08,"13,980"
2023-03-07,"14,240"
2023-03-06,"14,620"
2023-03-05,"14,250"
2023-03-03,"14,250"
2023-03-02,"14,300"
2023-03-01,"14,640"
2023-02-28,"14,640"
2023-02-27,"14,560"
2023-02-26,"15,820"
2023-02-24,"15,820"
2023-02-23,"16,540"
2023-02-22,"16,560"
2023-02-21,"16,250"
2023-02-20,"15,460"
2023-02-19,"14,220"
2023-02-17,"14,220"
2023-02-16,"14,500"
2023-02-15,"13,800"
2023-02-14,"14,380"
2023-02-13,"13,870"
2023-02-12,"14,250"
2023-02-10,"14,250"
2023-02-09,"15,020"
2023-02-08,"14,830"
2023-02-07,"14,750"
2023-02-06,"14,720"
2023-02-05,"15,080"
2023-02-03,"15,080"
2023-02-02,"15,040"
2023-02-01,"15,030"
2023-01-31,"15,260"
2023-01-30,"14,710"
2023-01-29,"14,780"
2023-01-27,"14,780"
2023-01-26,"15,410"
2023-01-25,"15,270"
2023-01-20,"13,350"
2023-01-19,"13,400"
2023-01-18,"13,400"
2023-01-17,"13,350"
2023-01-16,"13,700"
2023-01-13,"13,400"
2023-01-12,"13,700"
2023-01-11,"13,900"
2023-01-10,"13,550"
2023-01-09,"13,800"
2023-01-08,"13,300"
2023-01-06,"13,300"
2023-01-05,"12,150"
2023-01-04,"12,050"
2023-01-03,"12,000"
2023-01-02,"12,350"
2022-12-29,"12,950"
2022-12-28,"12,650"
2022-12-27,"13,000"
2022-12-26,"12,950"
2022-12-25,"12,950"
2022-12-23,"12,950"
2022-12-22,"13,550"
2022-12-21,"13,500"
2022-12-20,"13,600"
2022-12-19,"14,000"
2022-12-16,"13,900"
2022-12-15,"14,250"
2022-12-14,"14,300"
2022-12-13,"14,050"
2022-12-12,"14,250"
2022-12-09,"14,150"
2022-12-08,"13,500"
2022-12-07,"13,700"
2022-12-06,"13,750"
2022-12-05,"14,250"
2022-12-04,"14,300"
2022-12-02,"14,300"
2022-12-01,"14,300"
2022-11-30,"14,000"
2022-11-29,"13,900"
2022-11-28,"13,650"
2022-11-27,"14,200"
2022-11-25,"14,200"
2022-11-24,"14,800"
2022-11-23,"14,600"
2022-11-22,"14,250"
2022-11-21,"14,650"
2022-11-20,"14,900"
2022-11-18,"14,900"
2022-11-17,"15,500"
2022-11-16,"15,400"
2022-11-15,"15,500"
2022-11-14,"14,750"
2022-11-11,"15,450"
2022-11-10,"14,650"
2022-11-09,"15,350"
2022-11-08,"15,200"
2022-11-07,"15,050"
2022-11-06,"14,650"
2022-11-04,"14,650"
2022-11-03,"14,600"
2022-11-02,"14,800"
2022-11-01,"14,700"
2022-10-31,"14,650"
2022-10-30,"14,100"
2022-10-28,"14,100"
2022-10-27,"14,400"
2022-10-26,"13,950"
2022-10-25,"14,050"
2022-10-24,"13,800"
2022-10-23,"14,850"
2022-10-21,"14,850"
2022-10-20,"14,050"
2022-10-19,"14,250"
2022-10-18,"14,350"
2022-10-17,"14,100"
2022-10-16,"13,900"
2022-10-14,"13,900"
2022-10-13,"12,750"
2022-10-12,"13,350"
2022-10-11,"13,350"
2022-10-10,"14,150"
2022-10-07,"14,150"
2022-10-06,"14,600"
2022-10-05,"14,250"
2022-10-04,"14,950"
2022-09-30,"14,900"
2022-09-29,"14,400"
2022-09-28,"15,200"
2022-09-27,"16,100"
2022-09-26,"15,750"
2022-09-25,"16,200"
2022-09-23,"16,200"
2022-09-22,"17,450"
2022-09-21,"17,700"
2022-09-20,"18,700"
2022-09-19,"19,100"
2022-09-16,"18,050"
2022-09-15,"17,500"
2022-09-14,"16,900"
2022-09-13,"16,500"
2022-09-08,"15,950"
2022-09-07,"15,600"
2022-09-06,"16,000"
2022-09-05,"16,250"
2022-09-04,"16,000"
2022-09-02,"16,000"
2022-09-01,"16,150"
2022-08-31,"16,750"
2022-08-30,"16,800"
2022-08-29,"16,450"
2022-08-28,"17,350"
2022-08-26,"17,350"
2022-08-25,"17,750"
2022-08-24,"21,350"
2022-08-23,"20,050"
2022-08-22,"19,300"
2022-08-21,"22,350"
2022-08-19,"22,350"
2022-08-18,"23,150"
2022-08-17,"22,850"
2022-08-16,"22,100"
2022-08-15,"21,700"
2022-08-12,"21,700"
2022-08-11,"22,100"
2022-08-10,"21,900"
2022-08-09,"21,950"
2022-08-08,"22,000"
2022-08-05,"22,200"
2022-08-04,"22,950"
2022-08-03,"23,000"
2022-08-02,"22,300"
2022-08-01,"22,300"
2022-07-29,"22,550"
2022-07-28,"22,150"
2022-07-27,"20,900"
2022-07-26,"19,750"
2022-07-25,"19,500"
2022-07-24,"19,700"
2022-07-22,"19,700"
2022-07-21,"20,600"
2022-07-20,"20,250"
2022-07-19,"20,350"
2022-07-18,"20,350"
2022-07-15,"20,000"
2022-07-14,"19,200"
2022-07-13,"19,100"
2022-07-12,"18,150"
2022-07-11,"18,900"
2022-07-10,"17,450"
2022-07-08,"17,450"
2022-07-07,"16,700"
2022-07-06,"16,800"
2022-07-05,"15,700"
2022-07-04,"14,800"
2022-07-01,"15,150"
2022-06-30,"15,400"
2022-06-29,"16,450"
2022-06-28,"16,550"
2022-06-27,"15,650"
2022-06-24,"15,350"
2022-06-23,"14,100"
2022-06-22,"14,550"
2022-06-21,"15,550"
2022-06-20,"15,600"
2022-06-19,"15,950"
2022-06-17,"15,950"
2022-06-16,"15,750"
2022-06-15,"16,250"
2022-06-14,"18,000"
2022-06-13,"18,900"
2022-06-12,"23,800"
2022-06-10,"23,800"
2022-06-09,"24,350"
2022-06-08,"24,350"
2022-06-07,"25,350"
2022-06-06,"25,600"
2022-06-03,"25,600"
2022-06-02,"24,300"
2022-06-01,"24,250"
2022-05-31,"24,250"
2022-05-30,"23,700"
2022-05-27,"23,600"
2022-05-26,"22,500"
2022-05-25,"22,250"
2022-05-24,"21,300"
2022-05-23,"21,700"
2022-05-22,"20,700"
2022-05-20,"20,700"
2022-05-19,"19,800"
2022-05-18,"19,800"
2022-05-17,"20,000"
2022-05-16,"19,850"
2022-05-15,"19,150"
2022-05-13,"19,150"
2022-05-12,"18,600"
2022-05-11,"19,900"
2022-05-10,"20,000"
2022-05-09,"20,000"
2022-05-08,"20,500"
2022-05-06,"20,500"
2022-05-05,"21,900"
