date,price
2023-09-15,"72,000"
2023-09-14,"71,700"
2023-09-13,"70,900"
2023-09-12,"70,500"
2023-09-11,"70,800"
2023-09-10,"70,300"
2023-09-08,"70,300"
2023-09-07,"70,400"
2023-09-06,"70,000"
2023-09-05,"70,700"
2023-09-04,"71,200"
2023-09-03,"71,000"
2023-09-01,"71,000"
2023-08-31,"66,900"
2023-08-30,"67,100"
2023-08-29,"66,800"
2023-08-28,"66,800"
2023-08-27,"67,100"
2023-08-25,"67,100"
2023-08-24,"68,200"
2023-08-23,"67,100"
2023-08-22,"66,600"
2023-08-21,"66,600"
2023-08-20,"66,300"
2023-08-18,"66,300"
2023-08-17,"66,700"
2023-08-16,"67,000"
2023-08-15,"67,300"
2023-08-14,"67,300"
2023-08-13,"67,500"
2023-08-11,"67,500"
2023-08-10,"68,000"
2023-08-09,"68,900"
2023-08-08,"67,600"
2023-08-07,"68,500"
2023-08-06,"68,300"
2023-08-04,"68,300"
2023-08-03,"68,800"
2023-08-02,"69,900"
2023-08-01,"71,100"
2023-07-31,"69,800"
2023-07-30,"70,600"
2023-07-28,"70,600"
2023-07-27,"71,700"
2023-07-26,"69,800"
2023-07-25,"70,000"
2023-07-24,"70,400"
2023-07-23,"70,300"
2023-07-21,"70,300"
2023-07-20,"71,000"
2023-07-19,"71,700"
2023-07-18,"72,000"
2023-07-17,"73,300"
2023-07-16,"73,400"
2023-07-14,"73,400"
2023-07-13,"71,900"
2023-07-12,"71,900"
2023-07-11,"71,500"
2023-07-10,"69,500"
2023-07-09,"69,900"
2023-07-07,"69,900"
2023-07-06,"71,600"
2023-07-05,"72,000"
2023-07-04,"73,000"
2023-07-03,"73,000"
2023-07-02,"72,200"
2023-06-30,"72,200"
2023-06-29,"72,400"
2023-06-28,"72,700"
2023-06-27,"72,600"
2023-06-26,"72,400"
2023-06-25,"71,600"
2023-06-23,"71,600"
2023-06-22,"71,300"
2023-06-21,"70,500"
2023-06-20,"71,400"
2023-06-19,"71,200"
2023-06-18,"71,800"
2023-06-16,"71,800"
2023-06-15,"71,500"
2023-06-14,"71,900"
2023-06-13,"72,000"
2023-06-12,"71,000"
2023-06-11,"72,000"
2023-06-09,"72,000"
2023-06-08,"70,900"
2023-06-07,"71,000"
2023-06-06,"71,700"
2023-06-05,"71,700"
2023-06-04,"72,200"
2023-06-02,"72,200"
2023-06-01,"70,900"
2023-05-31,"71,400"
2023-05-30,"72,300"
2023-05-29,"70,300"
2023-05-26,"70,300"
2023-05-25,"68,800"
2023-05-24,"68,500"
2023-05-23,"68,400"
2023-05-22,"68,500"
2023-05-21,"68,400"
2023-05-19,"68,400"
2023-05-18,"66,200"
2023-05-17,"65,000"
2023-05-16,"65,400"
2023-05-15,"64,500"
2023-05-14,"64,100"
2023-05-12,"64,100"
2023-05-11,"64,200"
2023-05-10,"64,600"
2023-05-09,"65,300"
2023-05-08,"65,900"
2023-05-07,"65,100"
2023-05-04,"65,100"
2023-05-03,"65,400"
2023-05-02,"65,700"
2023-05-01,"65,500"
2023-04-28,"65,500"
2023-04-27,"64,600"
2023-04-26,"64,100"
2023-04-25,"63,600"
2023-04-24,"65,200"
2023-04-23,"65,700"
2023-04-21,"65,700"
2023-04-20,"65,300"
2023-04-19,"65,500"
2023-04-18,"65,600"
2023-04-17,"65,300"
2023-04-16,"65,100"
2023-04-14,"65,100"
2023-04-13,"66,100"
2023-04-12,"66,000"
2023-04-11,"65,900"
2023-04-10,"65,700"
2023-04-09,"65,000"
2023-04-07,"65,000"
2023-04-06,"62,300"
2023-04-05,"63,900"
2023-04-04,"63,600"
2023-04-03,"63,100"
2023-04-02,"64,000"
2023-03-31,"64,000"
2023-03-30,"63,200"
2023-03-29,"62,700"
2023-03-28,"62,900"
2023-03-27,"62,100"
2023-03-26,"63,000"
2023-03-24,"63,000"
2023-03-23,"62,300"
2023-03-22,"61,100"
2023-03-21,"60,300"
2023-03-20,"60,200"
2023-03-19,"61,300"
2023-03-17,"61,300"
2023-03-16,"59,900"
2023-03-15,"59,800"
2023-03-14,"59,000"
2023-03-13,"60,000"
2023-03-12,"59,500"
2023-03-10,"59,500"
2023-03-09,"60,100"
2023-03-08,"60,300"
2023-03-07,"60,700"
2023-03-06,"61,500"
2023-03-05,"60,500"
2023-03-03,"60,500"
2023-03-02,"60,800"
2023-03-01,"60,600"
2023-02-28,"60,600"
2023-02-27,"60,500"
2023-02-26,"61,300"
2023-02-24,"61,300"
2023-02-23,"62,000"
2023-02-22,"61,100"
2023-02-21,"62,100"
2023-02-20,"62,700"
2023-02-19,"62,600"
2023-02-17,"62,600"
2023-02-16,"63,700"
2023-02-15,"62,200"
2023-02-14,"63,200"
2023-02-13,"62,900"
2023-02-12,"62,800"
2023-02-10,"62,800"
2023-02-09,"63,000"
2023-02-08,"63,100"
2023-02-07,"61,900"
2023-02-06,"61,600"
2023-02-05,"63,800"
2023-02-03,"63,800"
2023-02-02,"63,500"
2023-02-01,"61,800"
2023-01-31,"61,000"
2023-01-30,"63,300"
2023-01-29,"64,600"
2023-01-27,"64,600"
2023-01-26,"63,900"
2023-01-25,"63,400"
2023-01-24,"61,800"
2023-01-20,"61,800"
2023-01-19,"61,500"
2023-01-18,"60,400"
2023-01-17,"61,000"
